0036,2755e323b707ee31026,Barry1352,Code0964,Description1013,Expires0976,Guns0550,Handguns0471,ID1019,Listed0971,Listed1334,Post0929,Recurve0789,Rifles0572,Since1339,Street0950,Us1790,days0978,file_name
Judge,No Tags,No other ads by this poster found.,38843,"Like new, Black Taurus (The Judge) 6.5 barrel. Comes with Hogue Grips (Rubber Monogrip) and a 19 BlackHawk holster. The gun has less than 100 rounds of use. MSRP=$600, grip=$30, holster=$20.  I would consider trading for a 22mag and cash, or of equal value.  Call or Text for information 662-32two-1six27",35,12,13,70055d60b89d0844,"August 20, 2015 1:31 pm",TeamDoeMeat,450,,12,"August 20, 2015",,2015,10,7123A1726383E128476B10A6102C8CC887A5D3CF2B89D529CB63237E3AA969C8.html
FHN Scar 16L Black Nato 5.56 new in box,No Tags,British Lee-Enfield No 4 MK 2 still in Cosmoline,39042,"FHN Scar (Special Operations Forces Combat Assault Rifle) 16L Black, Nato 5.56, OBO, new in box.",28,12,13,52955ccc74a6f1ac,"August 13, 2015 10:43 am",cam5545,"2,350",,12,"June 22, 2015",,2015,7,79258A2E059CD9C47956904A16584AF1705DE6DB79850F311A96B3C469C7A253.html
Winchester 375 Big Bore Lever Action NIB,No Tags,British Lee-Enfield No 4 MK 2 still in Cosmoline     Marlin 450 1895M New in box unfired     FHN Scar 16L Black Nato 5.56 new in box,39042,"375 Winchester Lever Action New in Box Unfired   I am the original owner. The rifle has not been fired and I have taken out of box only to oil. Called the Big Bore 94 XTR, production for the 375 began in 1978. This rifle has perfect walnut wood, deep cut checkering, hooded front sight, magazine capacity of 6, barrel length 20”, overall length of 37 3/4”, 13” length of pull, weight of 6 1/8 pounds twist rate of 1 turn in 12”. 1 box of ammo included. Located in Rankin county.",5,17,15,58655a533dbcf626,"July 14, 2015 10:11 am",cam5545,875,,16,"June 22, 2015",,2015,7,85AF752DBAA32676D62B55F27D0B8DF7820D1E37206CBBF922A576D2768E5335.html
IWI Tavor 16\ Black w/ Vortex Sparc II, Tavor AR 5.56 5.56x45 bullpup bulpup IWI,Colt LE901 16S,39301,"Less then 500 rounds put through this rifle. Great rifle, I purchased this rifle less than six months ago I don\t want to sell it but I am in the military and am moving to California.   Tavor 16\ barrel w/ IWI mag, field kit, and original box.  Also included Vortex Sparc II red dot with less then 20mins use   Also Sellling  Condor Case Black $30  3 30rd Pmag $7 each  180 rds PMC Xtac $60",20,12,13,94155c2ce02e9a56,"August 5, 2015 9:07 pm",Bburger83,"1,600",,12,"August 5, 2015",,2015,17,8B671B3ED3F1E50970E9CE4003A3858FB31F8331CD8A7047BD35F9C59742D01F.html
Colt LE901 16S, Colt .308 308 AR AR-10,IWI Tavor 16\ Black w/ Vortex Sparc II,39301,I am in the military and moving to California so I am regretfully selling my Colt LE901 16S.   It has had less than 500 rounds through it. It is in great condition.  Includes bipod and 10 rd Pmag.   Also selling:  2 20rd Pmags $10 each  Condor Case seen in the pictures $30  Black Colt Case $20   Any questions please ask   OPTIC NOT INCLUDED,20,12,13,47455c2cb443cfb4,"August 5, 2015 8:59 pm",Bburger83,"1,725",,12,"August 5, 2015",,2015,18,9B52E9547B02C56511A816A882ED2B156CD65E3ABB66D979B5D6CA4C8F5919C2.html
swap stuff,No Tags,No other ads by this poster found.,39648,"for trade  1000 380 acp brass  500 45acp large primed brass  400 357 sized cast bullets   all brass is from inside range  open for trades make offer, worst I can say is no thanks",47,17,15,50155dbf141b1751,"August 24, 2015 10:42 pm",GunDoctor14,,,16,"August 25, 2015",1107 white street,2015,5,A88863BA4D65848A13AB185A43C8615EA4DD5C2B090C00A43980DA199294E284.html
Springfield XD Subcompact .40,No Tags,No other ads by this poster found.,39110,"Springfield Armory® XD 3 Subcompact Pistols   Shortest concealed-carry polymer pistol  The only pistol with a light rail in its class  Comes with two magazines  3 steel Melonite barrel  Shown with grip-extension magazine  Springfield Armory’s XD Subcompact 3 are the shortest concealed-carry polymer pistols in the world. They also feature the only light rail in their class. Comes with two magazines – a 13-round 9mm; 9-round .40 SW and a 16-round 9mm; 12-round .40 SW with a grip extension. 3 steel Melonite® barrel with fully supported ramp. Dovetail, three-dot, steel front and rear sights. Trigger pull is available between 5.5-7.7 lbs. Black polymer frame with forged-steel Melonite black finish. Dual-spring recoil system with full-length guide rod. Shown with grip extension magazine.",6,17,15,45455a5deb84cdc5,"July 14, 2015 10:22 pm",climbin111,450,,16,"July 15, 2015",,2015,5,AEB46482C94493A13FCDDEABCF56B2C27CE097D5AB285C7832D3FE5C47C7F631.html
.40 Springfield XD Sub-Compact with Extended Clip, Pistol Springfield XD Sig Sauer .40 .45 .38 Colt Desert Glock,No other ads by this poster found.,39110,Looks like new. Paid over $500in excellent condition. Can meet anywhere in Rankin or Madison Counties.,86,12,13,645619bc95f0f65,"October 10, 2015 7:37 pm",cgran1123,425,,12,"October 11, 2015",,2015,16,BE16090393E4008A8518B5DC3164B341191967422542B4B814CA8A5B95128D2E.html
Sig Sauer p-250 .45,No Tags,kel -tec PF-9,39574,Sig Sauer p-250 .45 semi auto handgun. Gun is like new condition. Approximately 80 rounds shot thru it with no issues. Comes with three magazines and carrying bag. Steve 228-328-7424,3,17,15,2055a2a77318b97,"July 12, 2015 11:45 am",11212008,400,,16,"July 12, 2015",,2015,10,E2ADF72FBC6D53CCF9566C26F751C7F6549C687226229ED94D31E6D2DD018AB8.html
RUGER LC9s 9MM, 9mm,No other ads by this poster found.,38637,"RUGER 9 MM LC9s. Bought brand new 4/2015. Included is the manufacturers test cartridge case. No other rounds have been used. I will include holster, lock, box of ammo. I paid $ 440 will take $ 300 firm. EMAIL shannonstanford@aol.com",5,12,13,5055ae1b1330bef,"July 21, 2015 4:28 am",Shannon,350,,12,"July 21, 2015",7245 northbrook dr,2015,,E546CFC3A0C66D129DE6329BEFA6A44155658F2F0A0A0EB774DFDDEA9E8599DF.html
Colt Pythons( Blue and Stainless steel)-Mag 357,No Tags,No other ads by this poster found.,39535,"I have both blue and stainless colt pythons available for sale. Please contact me for more information at (302) 464-0983. This is an off the book sales and no paper works is needed. Shipping from Delaware and no face to face . I ship using ground UPS. very discreet and packaging is ultra super stealth.Buy it now price, and a 20% restocking if you back out, the 60 day start the day you buy it, 10% restocking fee on all returned non lay a way items, shipping  handling is not refundable. I do not contact buyers, after getting some of them in trouble with their wives, so I will wait until you contact me. Buyer is solely responsible to determining that a firearm is safe to shoot.   1982 Colt Python with a 6” barrel, blue finish and factory wood stocks. Gun is used but very well maintained. No box or documents are included. This is a 6 shot .357 magnum revolver. Serial number is K84503.   Colt Python, 4 Stainless Steel, engraved,Contact me now (302) 464-0983",5,17,15,83855a5a3575d74c,"July 14, 2015 6:04 pm",ecpatanapaul,"1,200",,16,"July 15, 2015",,2015,15,E5C8C163D0E978860C231D35E269A5BD49081F61273C687AD18383B7334CFA4D.html
