0040,28in0804,9814d30e0506af141184,Ads0774,Binoculars0697,Description1188,Details1155,ID1174,Listed1161,Parts0699,Reply1230,Shotguns0838,Since0810,Sum1486,Tweet0990,dsturnerville0828,file_name,new1218,onto0834
weatherby 300 magnum /west germany mfg.,steven puelz,No ad details found.,   Guns for Sale    Rifles   weatherby 300 magnum /west germany mfg.,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,"Beautiful,clean,no dents, weatherby 300 magnum with factory mounted scope,and additional bosh lomb. cutom made hard case and 169 rounds various ammo [boat tail,green tip and others] Gun has great bore,no rust or damage well cared for.min., rounds down range,just a beautiful west german made rifle. Dont pass this one upno jap rifle here!!", No ad details found.,4455234a9fc21e65,"September 14, 2013 6:33 pm",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,190,"January 5, 2014",2015,"$1,3000","on September 14, 2013",43452DF61AB4937B93EF6E55034BBD42A180E0D3956B94174FDD3949EC6B9572.html,"div id=""respond",Rifles
KIMBER TEAM MATCH II 2013 45 ACP,dudu,,      Guns for Sale      Pistols      KIMBER TEAM MATCH II 2013 45 ACP,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,Height (inches) 90° to barrel: 5.50  Weight (ounces) with empty magazine: 38  Length (inches): 8.7  Magazine capacity: 8  Magazine well  Ambidextrous thumb safety  Recoil spring (pounds): 16.0  Full-length guide rod.  Got this as a gift on my last birthday  please if you are interested email me or as soon as possible.. i ship to all state,   Zip/Postal Code:  85701   State:  Arizona,914558f7fc11cf28,"June 28, 2015 5:08 am",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Cancel Reply,717,"June 28, 2015",2015,650.00,"on June 28, 2015",45EDB64C36453CAB6480DD66DEC851F0E51BF036624FE13CD11A33F0EFAC2F7F.html,"h2 class=""dotted"">4 Responses to  KIMBER TEAM MATCH II 2013 45 ACP                   Gunnerwest  on  July 4, 2015 @ 12:34 pm           Hi am really interested in your KIMBER TEAM pistol how much do you have it for sale.         Reply                       Gary  on  July 26, 2015 @ 4:14 pm           Interested. New York city.         Reply                       brian  on  August 26, 2015 @ 5:54 pm           do you still have gun? im interested.         Reply                       Barry Pegg  on  October 16, 2015 @ 7:52 am           Do you trade?         Reply",Pistols
Glock G26 9mm with two mags,jmatts,No ad details found.,   Guns for Sale    Pistols   Glock G26 9mm with two mags,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,"My G26 is in perfect condition. Put a couple hundred rounds through it, but its like the AK of the pistol world, it will last forever.   Price is pretty firm, but I would do trade and cash for a AR-15.", No ad details found.,73450537c3440b73,"September 14, 2012 6:52 pm",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,89,"January 5, 2014",2015,400.00,"on September 14, 2012",4AC3BE5673A47AFD1B965C41151D5ABD472948999DC484C9B3E2AE081460C0A6.html,"div id=""respond",Pistols
FNH 5.7 Semi-auto pistol HOLDS 20 rounds,jstought,No ad details found.,   Guns for Sale    Pistols   FNH 5.7 Semi-auto pistol HOLDS 20 rounds,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,"OBAMA HATES THIS GUN!!!   This is the legendary FHN 5.7 pistol. This gun can easily go through soft body armor, it holds 20 rounds and is like having an assualt weapon in your hand. The rounds travel at a whooping 2400 FPS. Its super accurate and is just a great gun, I am suprise it is not more popular.   I need some cash, we can meet up or I can ship (I will only ship if you contact an FFL dealer in your town).", No ad details found.,62650409b5bf2e72,"August 31, 2012 11:14 am",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,212,"January 5, 2014",2015,950 obo,"on August 31, 2012",4C1E57EEF1E75BA293D9DEAD75685FBCEBFC30FEE7A486E3A115D66FB17F065D.html,"h2 class=""dotted"">No Responses to  FNH 5.7 Semi-auto pistol HOLDS 20 rounds                   John  on  September 17, 2012 @ 11:18 pm           600$ ??         Reply                        Chris   on  October 27, 2012 @ 1:37 am           is fn 5.7 still for sale? are you the original owner? do you have the original box, paperwork, bill of sale? how many rounds through gun?         Reply                       Tom  on  November 28, 2012 @ 11:19 am           Is the gun still available? Also would you be willing to go to Houston for FTF?         Reply                       Ernesto  on  September 23, 2013 @ 7:00 pm           $750$ ??         Reply",Pistols
SMITH AND WESSON 6 PACK,jennyfaulkner,No ad details found.,   Guns for Sale    Pistols   SMITH AND WESSON 6 PACK,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,4 BARRELS 2 4 6 8  2 GRIPS  SHOOTERS GRIP AND WESYERN GRIP  TOOLS AND GAUGES  AND BELT BUCKLE ALL IN A MOLDED CARRYING CASE, No ad details found.,984eb170ef50546,"November 2, 2011 4:42 pm",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,114,"January 5, 2014",2015,$1000,"on November 2, 2011",59A51871D68937422E68BFD0BE1A06C91783F0C7B353EE8C99AD3A1B09A972C5.html,"h2 class=""dotted"">No Responses to  SMITH AND WESSON 6 PACK                   jennyfaulkner  on  November 2, 2011 @ 4:44 pm           I MEANT A DAN WESSON NOT SMITH AND WESSON         Reply                       Jay  on  October 19, 2012 @ 8:39 am           looking for a smith  wesson         Reply",Pistols
7mm Remington Mags  Winchester 243,772louis,,      Ammunition      Rifle Ammunition      7mm Remington Mags  Winchester 243,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers,"I have a New Box of Winchester 7mm Remington Mags and a New Box of Winchester 243 Ballistic Silvertip 55 Gr.  Would like to trade for 45 ACPs, I also have 8 Boxes of Slug, and BuckShot *20 Gauge*",   Zip/Postal Code:  34951   State:  Florida,1205294a552ea32f,"November 26, 2013 1:53 pm",Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Cancel Reply,431,"January 5, 2014",2015,TRADE,"on November 26, 2013",5E3AF635CCCE02A1D4E197D869120F8C670999BAC31C8C4B3E175FA72B3EC954.html,"div id=""respond",Rifle Ammunition
"Glock 17,18,19 for Sale",monlon,No ad details found.,"   Guns for Sale    Pistols   Glock 17,18,19 for Sale",Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,"sed worldwide by law enforcement, the Glock 17 9mm hand gun is one of the most popular models of Glock pistols. Constructed to the strict specifications of the master gunsmiths at the Glock factory, the Glock 17 9mm is superiorly accurate, durable and easy to use. This Glock 9mm also features:   • Glock “Safe Action” Trigger System  • Overall Length: 186mm/7.32”  • Overall Height: 138mm/5.43”  • Width: 30mm/1.18”  • Line of Sight: 165mm/6.49”  • Barrel Length: 114mm/4/49”  • Weight Unloaded/Loaded: 625g, 22.04oz/905g, 31.91oz  • Magazine Capacity Standard/Optional: 17/19, 33  • Trigger Pull: 2.5kg/5.5lbs   With its low weight but high capacity, the Glock 17 9mm hand gun is perfect for use as a concealed carry weapon, and the exclusive Glock “Safe Action” trigger system makes it quick and safe to use, even in high pressure situations. Superiorly reliable and high performance, the Glock 17 9mm hand gun is a great addition to any gun collection.", No ad details found.,6524ee01a0a652e8,"December 8, 2011 2:02 am",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,308,"January 5, 2014",2015,550.00,"on December 8, 2011",5F88034818532B6E8B34E83C4C10C22FEA5DF5207991745E752424EEE93F3764.html,"h2 class=""dotted"">One Response to  Glock 17,18,19 for Sale                   Keith  on  June 11, 2012 @ 5:41 pm           open to trades, ive got a kahr 9mm pm worth 605.00         Reply",Pistols
M2 Browning 50 Cal Replica Machine gun,dinosaur,,      Guns for Sale      Rifles      M2 Browning 50 Cal Replica Machine gun,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,"M2 Browning Replica machine gun, resin replica has no moving parts, can not fire for training, movie prop or collector, also have a all metal replica tripod for it, with the TE, the tripod is $495 extra, freight on the M2 is $35.00",   Zip/Postal Code:  76132   City:  Ft. Worth   State:  Texas,710538aa511920c7,"June 1, 2014 4:02 am",Rifles   Rimfire   Shotgun Parts,Cancel Reply,6098,"June 1, 2014",2015,370.00,"on June 1, 2014",60754EC111AD0B0FDC0CB1DEF0BAA4CE97563380DC38C9BBE0B3CEBA354A790D.html,"div id=""respond",Rifles
40 SW Once FIred NICKEL Brass,crownbullet,No ad details found.,   Ammunition    Reloading   40 SW Once FIred NICKEL Brass,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights,"40 SW Nickel Once Fired Pistol Brass 500 count  Deprimed, Cleaned and Polished  Mixed Head Stamp    Add $10.95 for shipping. All orders ship USPS flat rate and can be combined.   International Orders International orders must be done via email, please make sure to have Item#, description, quantity, your name, mailing address and email address to send money request listed in your email to us,Crown Bullet will send you a money request via paypal is the only forms of payment excepted for International Orders.  We will ship your order in the least expensive means possible Once payment is received we will mail out your order.  If purchasing any of our products it is your responsibility to know the laws of your country/ region.  Crown Bullet is not liable for orders not delivered/ returned due to customs regulations therefore our refund policy does not apply to International Orders.", No ad details found.,1514c81211005cc5,"June 22, 2011 3:43 am",Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,167,"January 5, 2014",2015,31.00,"on June 22, 2011",680333CCA50061BE59F5242EE828A7F5CACE3CC06C3D2F6A24F0BF1C0267DC88.html,"div id=""respond",Reloading
FN SCAR BLACK 17 17S 308,gd8943,No ad details found.,   Guns for Sale    Rifles   FN SCAR BLACK 17 17S 308,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,"This is a New In Box and Never Fired SCAR 17 with all of the pictured accessories as follows: (1) 2x 20rd  Mags (2) IOR Valdada 2-1232 Scope with MP8 Illuminated Reticle (3) IOR Valdada Rings (4) Larue QD LT101 Mount (5) Tango Down adjustable bipod (6) 200 rds of Hornady 308 165gr Barrier TAP #80995 This red box Hornady ammo (with hologram labels) is very rare and it is currently only being sold to Law Enforcement Agencies. The IOR scope, rings, mount, and bipod are like new with no marks or scratches of any kind. The glass and illuminated reticle on the scope are perfect!!", No ad details found.,8505144fd48cc720,"March 16, 2013 11:18 pm",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,173,"January 5, 2014",2015,$2300,"on March 16, 2013",6BBC3D7614FAD63BE0D96E5F2F6C8EC736021FD81F7B8CC51F75921039EB4EF5.html,"div id=""respond",Rifles
SW .357/.38special,mister-t,No ad details found.,   Guns for Sale    Pistols   SW .357/.38special,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,"SW .357, it also takes .38 special. It is an older models, but beautiful gun! I would be willing to trade for a small .380 auto.", No ad details found.,257500fd58edba6a,"July 25, 2012 11:19 am",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,275,"January 5, 2014",2015,SOLD,"on July 25, 2012",6FA6386C7C0E766CCDE426BFB3A609B2136F268C1DD1D11B3B0193E6DF62FB0B.html,"h2 class=""dotted"">No Responses to  SW .357/.38special                   Jim Eaves  on  July 25, 2012 @ 9:14 pm           I have CZ 83 380 cal. Looks good shoots great.Very  Very accurate pistol.  send e-mail and I will send pic and/or video of my gun if interested in trade.   I am located in Palestine,Tx.    Thanks ,  Jim  bigjim77@hotmail.com         Reply                       Kevin in Cypress (Fairfield)  on  July 25, 2012 @ 10:39 pm           Is this a SW Model 686, 6 shot revolver with 6 barrel? If so, I am interested.  Thanks,  Kevin         Reply                       Scott  on  July 25, 2012 @ 11:17 pm           I am a cash buyer. Let me know when we can meet.  Scott   smrosko@tyler.net          Reply                       Norm D  on  July 26, 2012 @ 12:04 am           Taurus 738 .380 with two magazines. New in 12/11.  Box, lock/keys/ OEM manual.  Photos are available  1960/290 area         Reply                       Adam Devine  on  July 26, 2012 @ 12:52 am           I would be interested in picking this up for cash or trading. I have a Bersa .380 that is virtually new in box, rubber grips fitted and factory wood grips as well. Only a couple of mags fired through. Or I have a Kel-Tec P3AT with which I would include additional cash. Im at Hot Wells shooting range during the day, or can meet you elsewhere in the evenings. Thanks.         Reply                       Jay  on  July 27, 2012 @ 7:53 am           cash buyer here too 290@ fairbanks hit me back thanks!!!!!         Reply",Pistols
SmithWesson Police Regulation,mikesmith,No ad details found.,   Guns for Sale    Revolvers   SmithWesson Police Regulation,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading,"BOUGHT FROM AN ESTATE SALE. 1924 SmithWesson .32 caliber Regulation Police Auto Ejector in excellent shape. A few scratches on bottom of handle grip. I believe it to be nickle plated. Almost Like new condition. Mike,512-266-3084", No ad details found.,1304e74e3e6c626e,"September 17, 2011 6:53 pm",Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,106,"January 5, 2014",2015,$600. obo,"on September 17, 2011",7A9B45C107459FD1A00866BC363F047EBEB6EFB37B111CD85090D7521CEE7D00.html,"div id=""respond",Revolvers
Bushmaster AR-15,projectvxn,No ad details found.,   Guns for Sale    Rifles   Bushmaster AR-15,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,"Bushmaster XM15-E2S, 16in Standard Barrel, Removable Fore-grip, Red Dot Optic, Collapsible Stock, OD Green Matte Finish, 7 Tap-Co 30 Round Magazines (3 Black, 2 OD Green, 2 Tan) with Original Gun Case.   NV I.D. Required for Purchase.  800.00 OBO Buy Only no trades,need the money to move to my husbands Army Base.",   This item has been sold   No ad details found.,1224ff5e9b386c29,"July 5, 2012 7:42 pm",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,199,"January 6, 2014",2015,800.00,"on July 5, 2012",8355D967CD0AAB580C8CC1D504EA7C35F79B129B572F04E1918D175C17B1EDCD.html,"h2 class=""dotted"">One Response to  Bushmaster AR-15                   russell  on  October 24, 2013 @ 4:20 am           I am interested. Please email me.         Reply",Rifles
1903 Springfield barrel dated 12-18,brokerark,No ad details found.,   Guns for Sale    Rifles   1903 Springfield barrel dated 12-18,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,"1903 Springfield bolt action, barrel dated 12-18, parkerized, excellent condition, $1000 479-414-5871 please no texting.", No ad details found.,600503d679325caa,"August 29, 2012 12:54 am",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,195,"January 5, 2014",2015,"1,000.00","on August 29, 2012",85178FFCD3B7A0369280DDF36852ECC9290D2696AA4D627D2A412DEDE54E32B4.html,"div id=""respond",Rifles
